Atlanta,33.748997,-84.387985
Austin,30.267153,-97.743057
Boise,43.615021,-116.202316
Charlotte,35.227085,-80.843124
Chicago,41.878113,-87.629799
Cleveland,41.499321,-81.694359
Dallas,32.776665,-96.796989
Denver,39.739235,-104.99025
Detroit,42.331429,-83.04575
Houston,29.760427,-95.3698
Indianapolis,39.768402,-86.158066
Jacksonville,30.332184,-81.65564
Kansas City,39.099728,-94.578568
Las Vegas,36.169941,-115.139832
Los Angeles,34.052235,-118.243683
Louisville,38.252666,-85.758453
Minneapolis,44.977753,-93.265015
Nashville,36.162663,-86.781601
New Orleans,29.951065,-90.071533
New York,40.712776,-74.005974
Oklahoma City,35.46756,-97.516426
Orlando,28.538336,-81.379234
Phoenix,33.448376,-112.074036
Providence,36.311005,-94.127434
Raleigh,35.779591,-78.638176
Sacramento,38.581573,-121.4944
San Antonio,29.424122,-98.493629
San Diego,32.715736,-117.161087
San Francisco,37.774929,-122.419418
San Jose,37.338207,-121.88633
St. Paul,44.953705,-93.089958
Waco,31.55677,-97.12999
Washington D.C.,38.907192,-77.036873
